,Start,End
1/1/19,1546322400,1546408800
2/1/19,1549000800,1549087200
3/1/19,1551420000,1551506400
4/1/19,1554094800,1554181200
5/1/19,1556686800,1556773200
6/1/19,1559365200,1559451600
7/1/19,1561957200,1562043600
8/1/19,1564635600,1564722000
9/1/19,1567314000,1567400400
10/1/19,1569906000,1569992400
11/1/19,1572584400,1572670800
12/1/19,1575180000,1575266400
1/1/20,1577858400,1577944800
2/1/20,1580536800,1580623200
3/1/20,1583042400,1583128800
4/1/20,1585717200,1585803600
5/1/20,1588309200,1588395600
6/1/20,1590987600,1591074000
7/1/20,1593579600,1593666000
8/1/20,1596258000,1596344400
9/1/20,1598936400,1599022800
10/1/20,1601528400,1601614800
11/1/20,1604206800,1604296800
12/1/20,1606802400,1606888800
